,attachments,bot_id,comment,display_as_bot,edited,file,inviter,is_intro,is_multiteam,is_thread_broadcast,item,item_type,last_read,name,new_broadcast,old_name,parent_user_id,pinned_to,plain_text,purpose,reactions,replies,reply_count,root,slog_is_mpdm,slog_is_self_dm,slog_is_shared,slog_is_slackbot_dm,subscribed,subtype,text,thread_ts,timestamp,ts,type,unread_count,upload,upload_reply_to,user,username
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<!channel> Public Speaking Club Meets tonight at 6pm in the boardroom! Hope to see you there,,,"Friday, 21 April 2017",message,,,,U1UC9NH9Q,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<!channel> Send them in please. Whatever you have now is just fine. I want to see what youâ€™re able to produce under pressure in an hour.,,,"Friday, 21 April 2017",message,,,,U1UC9NH9Q,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 minutes left! Turn in whatever you have by 515pm,,,"Friday, 21 April 2017",message,,,,U1UC9NH9Q,
3,,,,,,,,,,,,,,,,,,,,,"[{u'count': 1, u'name': u'laughing', u'users': [u'U3NCECYLR']}]",,,,,,,,,,Make sure to give me beautiful code please,,,"Thursday, 20 April 2017",message,,,,U1UC9NH9Q,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<https://drive.google.com/open?id=0B95q7pX_FuencldobFJ3TTQ5YXc>,,,"Thursday, 20 April 2017",message,,,,U1UC9NH9Q,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<!channel> DSI meetup is in the boardroom on the 1st floor! :slightly_smiling_face:,,,"Thursday, 20 April 2017",message,,,,U263G1UET,
6,,,,,"{u'user': u'U1UC9NH9Q', u'ts': u'1492707966.000000'}",,,,,,,,,,,,,,,,"[{u'count': 3, u'name': u'+1', u'users': [u'U3NCECYLR', u'U3GD4QSGG', u'U365TCNH3']}]",,,,,,,,,,<https://www.datascience.com/blog/intro-to-predictive-modeling-for-customer-lifetime-value>,,,"Thursday, 20 April 2017",message,,,,U1UC9NH9Q,
7,,,,,"{u'user': u'U1UC9NH9Q', u'ts': u'1492707963.000000'}",,,,,,,,,,,,,,,,,,,,,,,,,,If you want to learn a little more about advanced LTV techniques: <https://www.datascience.com/resources/video/customer-lifetime-value-modeling-data-science>,,,"Thursday, 20 April 2017",message,,,,U1UC9NH9Q,
8,"[{u'title': u'g35DSÂ 17-01-DS-SF Exit Survey', u'text': u'Web survey powered by <http://SurveyMonkey.com|SurveyMonkey.com>. Create your own online survey now with SurveyMonkey's expert certified FREE templates.', u'title_link': u'https://www.surveymonkey.com/r/JDHTYNV', u'service_name': u'surveymonkey.com', u'from_url': u'https://www.surveymonkey.com/r/JDHTYNV', u'fallback': u'g35DSÂ 17-01-DS-SF Exit Survey', u'service_icon': u'https://www.surveymonkey.com/favicon1.ico', u'id': 1}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<!channel> those of you who have completed your exit surveys: THANK YOU! For the rest of you, please please PLEASE give us your feedback around your entire Galvanize experience by visiting <https://www.surveymonkey.com/r/JDHTYNV> Many thanks!",,,"Wednesday, 19 April 2017",message,,,,U3F1AHRHT,
9,"[{u'image_bytes': 975080, u'service_name': u'Giphy', u'image_width': 245, u'image_height': 142, u'image_url': u'http://media0.giphy.com/media/YZj6yC5sbZ5qo/giphy.gif', u'service_url': u'http://giphy.com/', u'fallback': u'giphy: http://giphy.com/gifs/80s-movies-YZj6yC5sbZ5qo', u'service_icon': u'https://a.slack-edge.com/bfaba/img/unfurl_icons/giphy.png', u'id': 1}]",,,,,,,,,,,,,,,,,,,,"[{u'count': 1, u'name': u'joy', u'users': [u'U365TCNH3']}]",,,,,,,,,,<https://giphy.com/gifs/80s-movies-YZj6yC5sbZ5qo>,,,"Wednesday, 19 April 2017",message,,,,U1YEKSK45,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"or maybe just draw a picture. or do an interpretive dance. the world is your oyster, donâ€™t let anybody put a limit to your imagination! this is your time to shine, <@U3HML0DHN> !!! :punch:",,,"Wednesday, 19 April 2017",message,,,,U365TCNH3,
11,,,,,,,,,,,,,,,,,,,,,"[{u'count': 2, u'name': u'joy', u'users': [u'U365TCNH3', u'U3F1AHRHT']}]",,,,,,,,,,"<@U3HML0DHN> I like to think of it as filling in a name that they we're like. Cool as a cucumber: Margret Thatcher, Nervous and can't do anything: Cameron from Ferris Bueller.",,,"Wednesday, 19 April 2017",message,,,,U1UCK7AAW,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<!channel> tomorrow for the alumni meetup we'll be talking about how to handle hacker rank challenges which companies send out sometimes. We'll also discuss using the output from your classification models to optimize price points for business. Please bring your computers.,,,"Wednesday, 19 April 2017",message,,,,U1UC9NH9Q,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"What's the maximum for ""Nervousness / Frustration level""?",,,"Wednesday, 19 April 2017",message,,,,U3HML0DHN,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<!channel> Here's the form I was referring to yesterday to facilitate doing practice peer coding interviews: <https://docs.google.com/document/d/1i7sMJ5FmuE6pNreOOc_vVFUQx0UhIPfDxaj6b7UwaUQ/edit?ts=58efa4e2>,,,"Wednesday, 19 April 2017",message,,,,U1UCK7AAW,
15,"[{u'thumb_height': 181, u'thumb_url': u'https://secure.meetupstatic.com/photos/event/c/f/5/1/highres_456713073.jpeg', u'thumb_width': 230, u'title': u'Big Data, San Francisco', u'service_name': u'Meetup', u'title_link': u'https://www.meetup.com/BigDataSanFran/events/238379338/', u'text': u'Join us for an evening of exciting talks from Data Science Industry leaders and experts, followed by enough time for a few beers, pizza and networking. We look forward to seeing you there! Register vi', u'from_url': u'https://www.meetup.com/BigDataSanFran/events/238379338/', u'fallback': u'Meetup: Big Data, San Francisco', u'service_icon': u'https://secure.meetupstatic.com/s/img/144395054627769971357/logo/swarm/m_swarm_120x120.png', u'id': 1}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<!channel> <https://www.meetup.com/BigDataSanFran/events/238379338/>,,,"Wednesday, 19 April 2017",message,,,,U36C8HHU3,
16,,,,,,,,,,,,,,,,,U3P1FCSTT,,,,,,,,,,,,,,Awesome! Thanks!,1492613877,,"Wednesday, 19 April 2017",message,,,,U3P1FCSTT,
